source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 53,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 41,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 39,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 38,2,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 37,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 36,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 30,1,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 28,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 27,1,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 24,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 23,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 22,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 18,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 4,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,precinct,ward 34 precinct 2,0,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,municipal_district,ward 34,4,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Elizabeth ''Liz'' Pahlke,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,municipal_district,ward 34,6,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Marcus Lewis,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,municipal_district,ward 34,905,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Robin Kelly,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,municipal_district,ward 34,8,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,LeAlan M. Jones,,,,
20130409__il__special__special_election__precinct.json,il-2013-04-09-general,IL,Chicago,municipal_district,ward 34,3,,2013-04-09T00:00:00.000Z,general,certified,false,ObjectId(564ab35d11956859da245caf),,,IL,,,U.S. House,2,Curtiss Llong Bey,,,,
