source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,municipal_district,ward 1,3717,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,JESSE D. GRANATO,,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,municipal_district,ward 1,5290,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 1,98,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 2,160,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 3,132,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 4,146,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 5,119,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 6,142,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 7,128,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 8,126,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 9,169,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 10,86,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 11,160,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 12,103,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 13,142,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 14,156,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 15,83,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 16,87,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 17,136,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 18,138,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 19,112,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 20,178,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 21,185,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
20030401__il__municipal_runoffs__precinct.json,il-chicago-2003-04-01-runoff,IL,Chicago,precinct,ward 1 precinct 22,120,,2003-04-01T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf2),,,IL,,Chicago,Alderman,Ward 1,"MANUEL ""MANNY"" FLORES",,,,
