source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,municipal_district,ward 1,462,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,PATRICIA McALLISTER,,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,municipal_district,ward 1,5892,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RICHARD M. DALEY,,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,municipal_district,ward 1,119,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,JOSEPH McAFEE,,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,municipal_district,ward 1,501,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 1,12,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 2,12,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 3,10,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 4,12,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 5,17,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
20030225__il__municipal_general__precinct.json,il-chicago-2003-02-25-general,IL,Chicago,precinct,ward 1 precinct 6,11,,2003-02-25T00:00:00.000Z,general,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,"PAUL L. JAKES, JR.",,,,
