source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 50,6249,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 49,5127,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 48,8503,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 47,10169,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 46,8723,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 45,9341,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 44,10063,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 43,12335,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 42,11504,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 41,12007,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 40,6528,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
20150407__il__municipal_runoffs__precinct.json,il-chicago-2015-04-07-runoff,IL,Chicago,municipal_district,ward 39,7671,,2015-04-07T00:00:00.000Z,runoff,certified,false,ObjectId(564ab22111956859da245c91),,,IL,,Chicago,Mayor,,RAHM EMANUEL,,,,
