source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,municipal_district,ward 1,274,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Jose Cerda III,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,municipal_district,ward 1,714,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 1,25,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 2,4,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 3,12,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 4,15,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 5,19,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 6,17,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 7,16,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 8,18,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 9,18,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 10,13,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 11,8,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 12,12,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 13,13,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 14,15,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 15,10,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 16,22,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 17,10,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 18,11,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 19,30,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
20070227__il__municipal_general__precinct.json,il-chicago-2007-02-27-general,IL,Chicago,precinct,ward 1 precinct 20,13,,2007-02-27T00:00:00.000Z,general,certified,false,ObjectId(564ab25c11956859da245c94),,,IL,Cook,,County Clerk,,Diane Jones,,,,
