source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,municipal_district,ward 2,6175,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Bob Fioretti,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,municipal_district,ward 2,3224,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 1,32,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 3,51,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 4,35,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 5,32,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 6,12,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 7,92,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 8,61,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
20070417__il__municipal_runoffs__precinct.json,il-chicago-2007-04-17-runoff,IL,Chicago,precinct,ward 2 precinct 9,72,,2007-04-17T00:00:00.000Z,runoff,certified,false,ObjectId(564ab3b011956859da245cf3),,,IL,,Chicago,Alderman,Ward 2,Madeline L. Haithcock,,,,
