source,election_id,state,place,reporting_level,jurisdiction,votes,votes_type,contest_start_date,contest_election_type,contest_result_type,contest_special,contest_office,contest_name,contest_primary_party,office_state,office_county,office_place,office_name,office_district,candidate_full_name,ballot_measure_full_name,ballot_measure_value,retention_full_name,retention_value
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,7,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Sara Feigenholtz,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,8,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,John A. Fritchey,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,8,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Charles J. Wheelan,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,4,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Patrick J. O'Connor,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,0,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Jan H. Donatelli,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,0,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Frank Annunzio,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,0,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Cary Capparelli,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,2,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Victor A. Forys,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,11,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Mike Quigley,,,,
20090303__il__D__special__special_primary__precinct.json,il-2009-03-03-primary,IL,Chicago,municipal_district,ward 1,1,,2009-03-03T00:00:00.000Z,primary,certified,false,ObjectId(564ab30e11956859da245cae),,,IL,,,U.S. House,5,Tom Geoghegan,,,,
